Speaker,Filler,Preceding,Following,Age,Gender,Finger,log2.Finger
1,um,P,P,20,3,1.01,0.0143552929770701
1,um,C,P,20,3,1.01,0.0143552929770701
1,uh,C,V,20,3,1.01,0.0143552929770701
1,um,P,C,20,3,1.01,0.0143552929770701
2,uh,P,V,20,3,1,0
2,uh,C,C,20,3,1,0
2,um,P,V,20,3,1,0
2,um,C,V,20,3,1,0
2,um,P,C,20,3,1,0
2,um,C,C,20,3,1,0
2,um,C,C,20,3,1,0
2,uh,C,C,20,3,1,0
2,um,C,V,20,3,1,0
2,um,V,V,20,3,1,0
2,um,P,P,20,3,1,0
2,um,P,P,20,3,1,0
2,um,C,C,20,3,1,0
2,uh,P,C,20,3,1,0
2,um,P,P,20,3,1,0
2,um,P,P,20,3,1,0
2,um,C,V,20,3,1,0
2,um,C,C,20,3,1,0
2,uh,V,V,20,3,1,0
2,um,C,P,20,3,1,0
2,um,P,P,20,3,1,0
2,um,P,V,20,3,1,0
2,um,C,P,20,3,1,0
2,um,C,P,20,3,1,0
2,um,C,P,20,3,1,0
2,um,C,P,20,3,1,0
2,um,P,C,20,3,1,0
2,um,P,P,20,3,1,0
2,um,C,P,20,3,1,0
2,um,C,C,20,3,1,0
2,uh,C,V,20,3,1,0
2,uh,C,V,20,3,1,0
2,um,C,V,20,3,1,0
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,V,C,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,C,V,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,P,P,21,5,0.97,-0.0439433475875971
3,um,C,V,21,5,0.97,-0.0439433475875971
3,um,P,P,21,5,0.97,-0.0439433475875971
3,uh,P,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,uh,P,V,21,5,0.97,-0.0439433475875971
3,um,P,C,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,V,P,21,5,0.97,-0.0439433475875971
3,uh,P,P,21,5,0.97,-0.0439433475875971
3,um,P,C,21,5,0.97,-0.0439433475875971
3,um,C,V,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,V,V,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,V,P,21,5,0.97,-0.0439433475875971
3,um,P,V,21,5,0.97,-0.0439433475875971
3,uh,P,P,21,5,0.97,-0.0439433475875971
3,um,P,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,P,V,21,5,0.97,-0.0439433475875971
3,um,P,C,21,5,0.97,-0.0439433475875971
3,um,P,V,21,5,0.97,-0.0439433475875971
3,um,P,V,21,5,0.97,-0.0439433475875971
3,um,C,C,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
3,uh,C,P,21,5,0.97,-0.0439433475875971
3,um,C,V,21,5,0.97,-0.0439433475875971
3,uh,C,P,21,5,0.97,-0.0439433475875971
3,um,C,P,21,5,0.97,-0.0439433475875971
4,um,P,P,20,4,1.06,0.0840642647884746
4,um,P,P,20,4,1.06,0.0840642647884746
4,uh,C,P,20,4,1.06,0.0840642647884746
4,um,C,C,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,V,P,20,4,1.06,0.0840642647884746
4,um,V,C,20,4,1.06,0.0840642647884746
4,um,C,C,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
4,um,P,P,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
4,um,P,P,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,V,P,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,P,V,20,4,1.06,0.0840642647884746
4,um,P,V,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
4,um,P,V,20,4,1.06,0.0840642647884746
4,um,P,V,20,4,1.06,0.0840642647884746
4,um,P,C,20,4,1.06,0.0840642647884746
4,um,P,V,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
4,um,C,P,20,4,1.06,0.0840642647884746
5,um,P,C,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,V,C,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,uh,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,V,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,V,P,20,4,1.02,0.0285691521967709
5,uh,C,P,20,4,1.02,0.0285691521967709
5,uh,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,uh,V,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,P,C,20,4,1.02,0.0285691521967709
5,um,C,C,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,V,P,20,4,1.02,0.0285691521967709
5,um,C,C,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,V,C,20,4,1.02,0.0285691521967709
5,um,C,V,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,uh,C,V,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,uh,P,V,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,P,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,uh,C,C,20,4,1.02,0.0285691521967709
5,um,V,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,P,C,20,4,1.02,0.0285691521967709
5,uh,C,C,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,C,P,20,4,1.02,0.0285691521967709
5,um,V,C,20,4,1.02,0.0285691521967709
